ticket_id,customer_id,company_name,segment,category,issue_type,severity,created_date,resolved_date,resolution_hours,description,resolution_notes,csat_score
TICKET-00375,CUST-0058,CodeCraft Systems,Enterprise,Training,How-to question,Medium,2025-07-29,2025-07-31,65,CodeCraft Systems (Enterprise) reported: How-to question. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00376,CUST-0059,CloudScale Solutions,SMB,Training,Best practices,Low,2025-09-18,2025-09-22,106,CloudScale Solutions (SMB) reported: Best practices. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00377,CUST-0060,ContainerOps LLC,Commercial,Feature,UI/UX feedback,High,2025-02-06,2025-02-06,21,ContainerOps LLC (Commercial) reported: UI/UX feedback. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00378,CUST-0060,ContainerOps LLC,Commercial,Technical,Authentication failure,Medium,2025-11-24,2025-11-27,81,ContainerOps LLC (Commercial) reported: Authentication failure. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00379,CUST-0060,ContainerOps LLC,Commercial,Billing,Invoice question,Medium,2025-09-18,2025-09-20,58,ContainerOps LLC (Commercial) reported: Invoice question. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00380,CUST-0060,ContainerOps LLC,Commercial,Billing,Invoice question,Medium,2025-11-06,2025-11-08,55,ContainerOps LLC (Commercial) reported: Invoice question. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00381,CUST-0061,MicroServe Technologies,Enterprise,Training,Setup help,Medium,2025-12-13,2025-12-16,82,MicroServe Technologies (Enterprise) reported: Setup help. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00382,CUST-0062,AuditPro Systems,SMB,Training,How-to question,High,2024-10-10,2024-10-10,7,AuditPro Systems (SMB) reported: How-to question. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00383,CUST-0062,AuditPro Systems,SMB,Technical,Authentication failure,Low,2023-11-27,2023-11-28,29,AuditPro Systems (SMB) reported: Authentication failure. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00384,CUST-0062,AuditPro Systems,SMB,Technical,API error,Critical,2024-05-28,2024-05-28,7,AuditPro Systems (SMB) reported: API error. Severity: Critical. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00385,CUST-0062,AuditPro Systems,SMB,Technical,Authentication failure,Low,2022-08-20,2022-08-24,101,AuditPro Systems (SMB) reported: Authentication failure. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00386,CUST-0062,AuditPro Systems,SMB,Technical,Performance slow,Medium,2023-11-22,2023-11-26,96,AuditPro Systems (SMB) reported: Performance slow. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00387,CUST-0062,AuditPro Systems,SMB,Technical,Authentication failure,Low,2026-04-03,2026-04-08,126,AuditPro Systems (SMB) reported: Authentication failure. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00388,CUST-0062,AuditPro Systems,SMB,Training,Best practices,High,2024-03-26,2024-03-27,25,AuditPro Systems (SMB) reported: Best practices. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00389,CUST-0062,AuditPro Systems,SMB,Feature,UI/UX feedback,Low,2023-08-07,2023-08-12,138,AuditPro Systems (SMB) reported: UI/UX feedback. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00390,CUST-0062,AuditPro Systems,SMB,Technical,API error,Critical,2022-08-27,2022-08-27,1,AuditPro Systems (SMB) reported: API error. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00391,CUST-0063,WorkflowPro Corp,Commercial,Technical,Performance slow,Low,2025-08-10,2025-08-16,156,WorkflowPro Corp (Commercial) reported: Performance slow. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00392,CUST-0063,WorkflowPro Corp,Commercial,Technical,Integration issue,High,2026-03-10,2026-03-11,45,WorkflowPro Corp (Commercial) reported: Integration issue. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00393,CUST-0063,WorkflowPro Corp,Commercial,Billing,Invoice question,Medium,2025-03-24,2025-03-26,67,WorkflowPro Corp (Commercial) reported: Invoice question. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00394,CUST-0063,WorkflowPro Corp,Commercial,Training,Best practices,High,2025-10-01,2025-10-01,15,WorkflowPro Corp (Commercial) reported: Best practices. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00395,CUST-0064,BackupCloud Corp,SMB,Training,Setup help,Medium,2026-02-05,2026-02-07,64,BackupCloud Corp (SMB) reported: Setup help. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00396,CUST-0064,BackupCloud Corp,SMB,Feature,Feature request,High,2026-02-14,2026-02-15,28,BackupCloud Corp (SMB) reported: Feature request. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00397,CUST-0064,BackupCloud Corp,SMB,Technical,Authentication failure,High,2026-04-25,2026-04-26,33,BackupCloud Corp (SMB) reported: Authentication failure. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00398,CUST-0064,BackupCloud Corp,SMB,Billing,Pricing clarification,Medium,2026-01-14,2026-01-16,71,BackupCloud Corp (SMB) reported: Pricing clarification. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00399,CUST-0064,BackupCloud Corp,SMB,Training,Best practices,High,2026-05-19,2026-05-20,35,BackupCloud Corp (SMB) reported: Best practices. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00400,CUST-0065,TechFlow Technologies,Commercial,Feature,Missing functionality,Low,2025-09-22,2025-09-28,162,TechFlow Technologies (Commercial) reported: Missing functionality. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00401,CUST-0065,TechFlow Technologies,Commercial,Technical,Performance slow,Medium,2025-12-21,2025-12-24,88,TechFlow Technologies (Commercial) reported: Performance slow. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00402,CUST-0065,TechFlow Technologies,Commercial,Billing,Pricing clarification,Low,2023-12-30,2023-12-31,42,TechFlow Technologies (Commercial) reported: Pricing clarification. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00403,CUST-0065,TechFlow Technologies,Commercial,Billing,Pricing clarification,High,2026-02-24,2026-02-25,43,TechFlow Technologies (Commercial) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00404,CUST-0065,TechFlow Technologies,Commercial,Technical,Authentication failure,Critical,2025-10-27,2025-10-27,6,TechFlow Technologies (Commercial) reported: Authentication failure. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00405,CUST-0065,TechFlow Technologies,Commercial,Training,Documentation request,Critical,2023-10-08,2023-10-08,9,TechFlow Technologies (Commercial) reported: Documentation request. Severity: Critical. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 5/5.,5
TICKET-00406,CUST-0065,TechFlow Technologies,Commercial,Feature,UI/UX feedback,High,2026-05-10,2026-05-11,46,TechFlow Technologies (Commercial) reported: UI/UX feedback. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 2/5.,2
TICKET-00407,CUST-0066,ContainerOps Systems,SMB,Technical,Data sync problem,Low,2024-11-19,2024-11-23,97,ContainerOps Systems (SMB) reported: Data sync problem. Severity: Low.,Resolved by providing fix. Customer satisfaction: 5/5.,5
TICKET-00408,CUST-0066,ContainerOps Systems,SMB,Technical,Authentication failure,Medium,2024-11-12,2024-11-12,16,ContainerOps Systems (SMB) reported: Authentication failure. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00409,CUST-0066,ContainerOps Systems,SMB,Billing,Plan change request,High,2025-04-11,2025-04-11,12,ContainerOps Systems (SMB) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00410,CUST-0066,ContainerOps Systems,SMB,Billing,Payment issue,Low,2024-03-04,2024-03-07,83,ContainerOps Systems (SMB) reported: Payment issue. Severity: Low.,Resolved by providing fix. Customer satisfaction: 5/5.,5
TICKET-00411,CUST-0066,ContainerOps Systems,SMB,Billing,Plan change request,Medium,2024-10-14,2024-10-14,13,ContainerOps Systems (SMB) reported: Plan change request. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00412,CUST-0066,ContainerOps Systems,SMB,Training,Setup help,Medium,2025-08-18,2025-08-18,13,ContainerOps Systems (SMB) reported: Setup help. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00413,CUST-0066,ContainerOps Systems,SMB,Feature,Feature request,Low,2024-05-01,2024-05-04,72,ContainerOps Systems (SMB) reported: Feature request. Severity: Low.,Resolved by providing fix. Customer satisfaction: 5/5.,5
TICKET-00414,CUST-0067,CacheMaster Solutions,SMB,Feature,Workflow improvement,High,2025-04-25,2025-04-26,45,CacheMaster Solutions (SMB) reported: Workflow improvement. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00415,CUST-0067,CacheMaster Solutions,SMB,Billing,Invoice question,Medium,2025-07-04,2025-07-04,18,CacheMaster Solutions (SMB) reported: Invoice question. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00416,CUST-0067,CacheMaster Solutions,SMB,Billing,Plan change request,High,2025-04-11,2025-04-12,40,CacheMaster Solutions (SMB) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00417,CUST-0067,CacheMaster Solutions,SMB,Technical,API error,High,2024-06-27,2024-06-28,47,CacheMaster Solutions (SMB) reported: API error. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00418,CUST-0067,CacheMaster Solutions,SMB,Training,Setup help,Low,2024-12-17,2024-12-18,25,CacheMaster Solutions (SMB) reported: Setup help. Severity: Low.,Resolved by providing fix. Customer satisfaction: 2/5.,2
TICKET-00419,CUST-0067,CacheMaster Solutions,SMB,Training,How-to question,High,2025-04-03,2025-04-04,34,CacheMaster Solutions (SMB) reported: How-to question. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00420,CUST-0067,CacheMaster Solutions,SMB,Billing,Plan change request,Low,2025-07-17,2025-07-24,168,CacheMaster Solutions (SMB) reported: Plan change request. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00421,CUST-0067,CacheMaster Solutions,SMB,Billing,Pricing clarification,Medium,2025-02-11,2025-02-11,19,CacheMaster Solutions (SMB) reported: Pricing clarification. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00422,CUST-0067,CacheMaster Solutions,SMB,Billing,Payment issue,High,2025-04-09,2025-04-10,27,CacheMaster Solutions (SMB) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00423,CUST-0067,CacheMaster Solutions,SMB,Technical,Authentication failure,Critical,2024-08-16,2024-08-16,11,CacheMaster Solutions (SMB) reported: Authentication failure. Severity: Critical. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00424,CUST-0067,CacheMaster Solutions,SMB,Billing,Pricing clarification,Low,2024-08-02,2024-08-07,137,CacheMaster Solutions (SMB) reported: Pricing clarification. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00425,CUST-0067,CacheMaster Solutions,SMB,Feature,Workflow improvement,Medium,2025-01-01,2025-01-02,41,CacheMaster Solutions (SMB) reported: Workflow improvement. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00426,CUST-0067,CacheMaster Solutions,SMB,Billing,Invoice question,Medium,2025-06-14,2025-06-15,35,CacheMaster Solutions (SMB) reported: Invoice question. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00427,CUST-0067,CacheMaster Solutions,SMB,Training,How-to question,High,2024-09-10,2024-09-11,35,CacheMaster Solutions (SMB) reported: How-to question. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00428,CUST-0067,CacheMaster Solutions,SMB,Feature,UI/UX feedback,Medium,2024-06-14,2024-06-16,66,CacheMaster Solutions (SMB) reported: UI/UX feedback. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00429,CUST-0067,CacheMaster Solutions,SMB,Billing,Payment issue,Medium,2025-01-31,2025-01-31,16,CacheMaster Solutions (SMB) reported: Payment issue. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 1/5.,1
TICKET-00430,CUST-0068,ScaleSystems Solutions,Commercial,Training,Documentation request,High,2025-08-17,2025-08-17,16,ScaleSystems Solutions (Commercial) reported: Documentation request. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00431,CUST-0068,ScaleSystems Solutions,Commercial,Feature,Workflow improvement,Low,2025-09-21,2025-09-22,32,ScaleSystems Solutions (Commercial) reported: Workflow improvement. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00432,CUST-0068,ScaleSystems Solutions,Commercial,Billing,Plan change request,Medium,2024-07-27,2024-07-28,43,ScaleSystems Solutions (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00433,CUST-0068,ScaleSystems Solutions,Commercial,Technical,Data sync problem,Low,2025-06-29,2025-07-01,71,ScaleSystems Solutions (Commercial) reported: Data sync problem. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00434,CUST-0069,WorkflowPro Technologies,Commercial,Billing,Plan change request,Medium,2026-05-22,2026-05-25,76,WorkflowPro Technologies (Commercial) reported: Plan change request. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00435,CUST-0069,WorkflowPro Technologies,Commercial,Billing,Plan change request,Low,2025-11-27,2025-11-29,70,WorkflowPro Technologies (Commercial) reported: Plan change request. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 5/5.,5
TICKET-00436,CUST-0069,WorkflowPro Technologies,Commercial,Training,Documentation request,Low,2026-04-12,2026-04-16,109,WorkflowPro Technologies (Commercial) reported: Documentation request. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00437,CUST-0069,WorkflowPro Technologies,Commercial,Training,Best practices,Medium,2026-02-13,2026-02-13,13,WorkflowPro Technologies (Commercial) reported: Best practices. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00438,CUST-0070,MicroServe Inc,Enterprise,Technical,Authentication failure,Critical,2025-07-11,2025-07-11,9,MicroServe Inc (Enterprise) reported: Authentication failure. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00439,CUST-0070,MicroServe Inc,Enterprise,Feature,UI/UX feedback,Low,2025-01-07,2025-01-13,161,MicroServe Inc (Enterprise) reported: UI/UX feedback. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 5/5.,5
TICKET-00440,CUST-0070,MicroServe Inc,Enterprise,Technical,Authentication failure,Critical,2025-06-20,2025-06-20,10,MicroServe Inc (Enterprise) reported: Authentication failure. Severity: Critical. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00441,CUST-0070,MicroServe Inc,Enterprise,Training,Setup help,High,2025-02-08,2025-02-08,16,MicroServe Inc (Enterprise) reported: Setup help. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00442,CUST-0070,MicroServe Inc,Enterprise,Billing,Plan change request,Medium,2025-12-28,2025-12-31,74,MicroServe Inc (Enterprise) reported: Plan change request. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00443,CUST-0070,MicroServe Inc,Enterprise,Training,How-to question,Low,2025-09-24,2025-09-28,119,MicroServe Inc (Enterprise) reported: How-to question. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00444,CUST-0071,MicroServe Solutions,Enterprise,Feature,Workflow improvement,High,2025-06-17,2025-06-17,19,MicroServe Solutions (Enterprise) reported: Workflow improvement. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00445,CUST-0071,MicroServe Solutions,Enterprise,Feature,Feature request,High,2025-03-29,2025-03-29,18,MicroServe Solutions (Enterprise) reported: Feature request. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00446,CUST-0071,MicroServe Solutions,Enterprise,Billing,Plan change request,Critical,2026-04-27,2026-04-27,9,MicroServe Solutions (Enterprise) reported: Plan change request. Severity: Critical. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00447,CUST-0071,MicroServe Solutions,Enterprise,Feature,Workflow improvement,High,2024-08-16,2024-08-18,48,MicroServe Solutions (Enterprise) reported: Workflow improvement. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 4/5.,4
TICKET-00448,CUST-0071,MicroServe Solutions,Enterprise,Technical,Performance slow,High,2024-11-06,2024-11-06,14,MicroServe Solutions (Enterprise) reported: Performance slow. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00449,CUST-0072,AnalyticsCo Labs,SMB,Technical,API error,High,2024-08-17,2024-08-18,34,AnalyticsCo Labs (SMB) reported: API error. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00450,CUST-0073,DataBridge Systems,SMB,Billing,Invoice question,High,2025-02-05,2025-02-06,35,DataBridge Systems (SMB) reported: Invoice question. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00451,CUST-0073,DataBridge Systems,SMB,Feature,Feature request,Critical,2025-05-07,2025-05-07,10,DataBridge Systems (SMB) reported: Feature request. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00452,CUST-0073,DataBridge Systems,SMB,Billing,Plan change request,High,2023-07-13,2023-07-14,40,DataBridge Systems (SMB) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00453,CUST-0073,DataBridge Systems,SMB,Feature,Workflow improvement,Low,2026-05-02,2026-05-04,51,DataBridge Systems (SMB) reported: Workflow improvement. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00454,CUST-0073,DataBridge Systems,SMB,Billing,Plan change request,Low,2023-09-05,2023-09-08,85,DataBridge Systems (SMB) reported: Plan change request. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00455,CUST-0074,MonitorPlus LLC,Enterprise,Training,Documentation request,Medium,2025-09-28,2025-09-29,35,MonitorPlus LLC (Enterprise) reported: Documentation request. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 5/5.,5
TICKET-00456,CUST-0075,CodeCraft LLC,Enterprise,Billing,Plan change request,Medium,2025-06-12,2025-06-14,53,CodeCraft LLC (Enterprise) reported: Plan change request. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00457,CUST-0076,StreamPro Group,Enterprise,Billing,Plan change request,High,2026-01-08,2026-01-09,40,StreamPro Group (Enterprise) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 5/5.,5
TICKET-00458,CUST-0076,StreamPro Group,Enterprise,Technical,Data sync problem,Critical,2025-10-22,2025-10-22,6,StreamPro Group (Enterprise) reported: Data sync problem. Severity: Critical. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 5/5.,5
TICKET-00459,CUST-0076,StreamPro Group,Enterprise,Technical,API error,Medium,2026-01-28,2026-01-29,40,StreamPro Group (Enterprise) reported: API error. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 5/5.,5
TICKET-00460,CUST-0077,DataSync LLC,Enterprise,Billing,Plan change request,Critical,2026-02-01,2026-02-01,2,DataSync LLC (Enterprise) reported: Plan change request. Severity: Critical. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00461,CUST-0077,DataSync LLC,Enterprise,Technical,Authentication failure,High,2026-05-07,2026-05-07,12,DataSync LLC (Enterprise) reported: Authentication failure. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 3/5.,3
TICKET-00462,CUST-0077,DataSync LLC,Enterprise,Feature,UI/UX feedback,Medium,2026-03-23,2026-03-26,95,DataSync LLC (Enterprise) reported: UI/UX feedback. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00463,CUST-0077,DataSync LLC,Enterprise,Training,Setup help,Medium,2026-02-15,2026-02-16,44,DataSync LLC (Enterprise) reported: Setup help. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00464,CUST-0077,DataSync LLC,Enterprise,Feature,Feature request,Medium,2026-03-23,2026-03-26,94,DataSync LLC (Enterprise) reported: Feature request. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00465,CUST-0077,DataSync LLC,Enterprise,Billing,Plan change request,Medium,2026-02-17,2026-02-19,65,DataSync LLC (Enterprise) reported: Plan change request. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00466,CUST-0077,DataSync LLC,Enterprise,Billing,Payment issue,High,2026-03-23,2026-03-23,8,DataSync LLC (Enterprise) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00467,CUST-0077,DataSync LLC,Enterprise,Technical,Performance slow,Low,2026-01-17,2026-01-18,28,DataSync LLC (Enterprise) reported: Performance slow. Severity: Low.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00468,CUST-0077,DataSync LLC,Enterprise,Billing,Payment issue,Low,2025-12-28,2026-01-03,153,DataSync LLC (Enterprise) reported: Payment issue. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00469,CUST-0077,DataSync LLC,Enterprise,Billing,Payment issue,High,2025-12-08,2025-12-08,7,DataSync LLC (Enterprise) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 4/5.,4
TICKET-00470,CUST-0078,CodeCraft Labs,Commercial,Billing,Pricing clarification,High,2025-04-17,2025-04-17,17,CodeCraft Labs (Commercial) reported: Pricing clarification. Severity: High. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00471,CUST-0078,CodeCraft Labs,Commercial,Training,Setup help,Critical,2025-11-18,2025-11-18,6,CodeCraft Labs (Commercial) reported: Setup help. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00472,CUST-0078,CodeCraft Labs,Commercial,Technical,Integration issue,High,2025-08-02,2025-08-03,35,CodeCraft Labs (Commercial) reported: Integration issue. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 3/5.,3
TICKET-00473,CUST-0078,CodeCraft Labs,Commercial,Feature,Missing functionality,Medium,2025-10-27,2025-10-29,68,CodeCraft Labs (Commercial) reported: Missing functionality. Severity: Medium.,Resolved by providing fix. Customer satisfaction: 1/5.,1
TICKET-00474,CUST-0078,CodeCraft Labs,Commercial,Billing,Invoice question,Medium,2025-05-14,2025-05-17,77,CodeCraft Labs (Commercial) reported: Invoice question. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 3/5.,3
TICKET-00475,CUST-0078,CodeCraft Labs,Commercial,Training,How-to question,Critical,2025-06-09,2025-06-09,12,CodeCraft Labs (Commercial) reported: How-to question. Severity: Critical. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00476,CUST-0078,CodeCraft Labs,Commercial,Billing,Plan change request,High,2025-11-18,2025-11-18,7,CodeCraft Labs (Commercial) reported: Plan change request. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 1/5.,1
TICKET-00477,CUST-0078,CodeCraft Labs,Commercial,Billing,Pricing clarification,Medium,2025-09-05,2025-09-06,40,CodeCraft Labs (Commercial) reported: Pricing clarification. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00478,CUST-0079,CacheMaster Technologies,Enterprise,Feature,Missing functionality,Low,2026-03-22,2026-03-23,37,CacheMaster Technologies (Enterprise) reported: Missing functionality. Severity: Low.,Resolved by providing feature update. Customer satisfaction: 5/5.,5
TICKET-00479,CUST-0079,CacheMaster Technologies,Enterprise,Feature,UI/UX feedback,Low,2026-02-09,2026-02-12,75,CacheMaster Technologies (Enterprise) reported: UI/UX feedback. Severity: Low.,Resolved by providing fix. Customer satisfaction: 4/5.,4
TICKET-00480,CUST-0080,AIForge Systems,Commercial,Training,How-to question,Critical,2026-04-06,2026-04-06,3,AIForge Systems (Commercial) reported: How-to question. Severity: Critical. Impacting business operations.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
TICKET-00481,CUST-0080,AIForge Systems,Commercial,Billing,Pricing clarification,Medium,2025-12-30,2026-01-01,65,AIForge Systems (Commercial) reported: Pricing clarification. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 4/5.,4
TICKET-00482,CUST-0080,AIForge Systems,Commercial,Technical,Authentication failure,High,2026-05-05,2026-05-06,24,AIForge Systems (Commercial) reported: Authentication failure. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00483,CUST-0080,AIForge Systems,Commercial,Billing,Payment issue,High,2026-01-21,2026-01-22,30,AIForge Systems (Commercial) reported: Payment issue. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00484,CUST-0080,AIForge Systems,Commercial,Training,Setup help,High,2026-03-01,2026-03-01,13,AIForge Systems (Commercial) reported: Setup help. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00485,CUST-0080,AIForge Systems,Commercial,Feature,UI/UX feedback,Medium,2026-02-27,2026-03-02,95,AIForge Systems (Commercial) reported: UI/UX feedback. Severity: Medium.,Resolved by providing feature update. Customer satisfaction: 2/5.,2
TICKET-00486,CUST-0080,AIForge Systems,Commercial,Technical,API error,Critical,2026-04-11,2026-04-11,8,AIForge Systems (Commercial) reported: API error. Severity: Critical. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00487,CUST-0080,AIForge Systems,Commercial,Training,How-to question,Medium,2026-03-21,2026-03-22,37,AIForge Systems (Commercial) reported: How-to question. Severity: Medium.,Resolved by providing documentation. Customer satisfaction: 2/5.,2
